,Name,Team,Minutes Played,PER
385,Daryl Macon,MIA,14,-3.1
386,,,,
387,J.P. Macura,CLE,1,0.0
388,Josh Magette,ORL,38,5.1
389,Ian Mahinmi,WAS,808,14.1
390,Thon Maker,DET,776,13.7
391,Terance Mann,LAC,271,7.1
392,Boban Marjanović,DAL,337,24.5
393,Lauri Markkanen,CHI,1492,14.3
394,Caleb Martin,CHO,317,12.0
395,Cody Martin,CHO,903,10.5
396,Jeremiah Martin,BRK,16,5.9
397,Kelan Martin,MIN,495,9.2
398,Frank Mason III,MIL,53,4.2
399,Garrison Mathews,WAS,227,13.1
400,Wesley Matthews,MIL,1529,8.4
401,Patrick McCaw,TOR,908,7.3
402,CJ McCollum,POR,2229,17.4
403,T.J. McConnell,IND,1188,16.2
404,Jalen McDaniels,CHO,293,10.7
405,Doug McDermott,IND,1242,14.3
406,JaVale McGee,LAL,1023,20.0
407,,,,
408,Rodney McGruder,LAC,749,6.5
409,Alfonzo McKinnie,CLE,593,8.7
410,Jordan McLaughlin,MIN,590,16.3
411,Ben McLemore,HOU,1437,11.7
412,Jordan McRae,TOT,784,14.2
413,Jordan McRae,WAS,654,15.2
414,Jordan McRae,DEN,32,16.7
415,Jordan McRae,DET,98,6.5
416,Nicolò Melli,NOP,889,12.3
417,De'Anthony Melton,MEM,1011,14.6
418,Chimezie Metu,SAS,73,25.4
419,Khris Middleton,MIL,1653,21.4
420,Eric Mika,SAC,19,14.0
421,C.J. Miles,WAS,161,11.0
422,Malcolm Miller,TOR,125,4.7
423,Patty Mills,SAS,1430,14.7
424,Paul Millsap,DEN,1075,17.7
425,Shake Milton,PHI,611,15.2
426,Donovan Mitchell,UTA,2165,19.1
427,Naz Mitrou-Long,IND,43,10.1
428,Adam Mokoka,CHI,112,8.2
429,Malik Monk,CHO,1169,12.7
430,Matt Mooney,CLE,19,8.1
431,,,,
432,E'Twaun Moore,NOP,958,11.1
433,Ja Morant,MEM,1771,18.0
434,Juwan Morgan,UTA,74,8.8
435,Marcus Morris,TOT,1727,14.8
