player,mp,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Buddy Hield,1888,148,379,179,388,64,76,35,234,121,38,9,101,115,866
Nenê,1198,3,9,242,388,116,197,95,187,65,56,39,73,163,609
George Hill,1544,94,233,195,373,157,196,23,144,204,50,11,85,114,829
Jordan Hill,47,0,0,5,13,2,2,8,6,0,1,0,4,9,12
Solomon Hill,2374,94,270,89,208,103,128,51,256,141,72,32,82,182,563
Darrun Hilliard,381,12,46,35,80,21,28,2,31,33,11,2,28,39,127
Jrue Holiday,2190,100,281,305,612,119,168,46,218,488,100,44,194,133,1029
Justin Holiday,1639,97,273,136,265,66,80,27,198,102,65,31,66,109,629
Rondae Hollis-Jefferson,1761,15,67,220,475,190,253,96,356,154,82,44,116,177,675
Richaun Holmes,1193,27,77,203,335,72,103,94,217,58,42,55,55,136,559
Rodney Hood,1593,114,307,158,359,90,115,16,186,96,38,11,65,132,748
Al Horford,2193,86,242,293,559,108,135,95,370,337,52,86,115,138,952
Danuel House,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dwight Howard,2199,0,2,388,611,226,424,296,644,104,64,92,170,203,1002
Marcelo Huertas,237,4,19,21,49,9,17,2,22,52,10,2,19,16,63
Josh Huestis,31,2,4,4,7,0,1,4,5,3,0,3,0,0,14
Kris Humphries,689,19,54,68,160,64,82,60,146,29,15,21,28,69,257
R.J. Hunter,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Serge Ibaka,2422,124,317,347,665,107,125,129,409,75,41,124,105,215,1173
Andre Iguodala,1998,64,177,155,238,72,102,51,253,261,76,39,58,97,574
Ersan İlyasova,2142,142,402,242,488,161,207,115,366,141,58,23,116,211,1071
Joe Ingles,1972,123,279,81,172,50,68,23,238,225,96,8,107,163,581
Brandon Ingram,2279,55,187,221,499,133,214,60,256,166,50,36,116,158,740
Kyrie Irving,2525,177,441,494,979,297,328,52,178,418,83,24,180,157,1816
Jarrett Jack,33,0,1,2,2,2,2,0,0,5,2,0,3,4,6
Demetrius Jackson,17,1,1,2,3,3,6,2,2,3,0,0,0,0,10
Pierre Jackson,84,3,11,10,28,6,7,1,8,19,2,0,3,5,35
Reggie Jackson,1424,66,184,218,493,118,136,21,93,270,35,5,114,129,752
LeBron James,2794,124,342,612,1002,358,531,97,542,646,92,44,303,134,1954
Al Jefferson,931,0,1,235,470,65,85,75,203,57,19,16,33,125,535
Richard Jefferson,1614,62,186,91,157,80,108,28,175,78,26,10,52,153,448
