player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Cheick Diallo,467,89,137,1,2,32,37,28,99,22,10,12,30,54,211
Hamidou Diallo,743,103,230,9,38,29,46,31,102,27,30,8,40,85,244
Gorgui Dieng,1012,158,343,51,142,61,83,87,249,71,48,56,55,112,428
Spencer Dinwiddie,1994,424,1021,123,400,347,446,32,189,432,40,21,174,180,1318
Donte DiVincenzo,1412,217,470,79,232,60,80,60,236,140,81,18,79,104,573
Luka Dončić,1879,534,1158,157,503,392,519,71,452,491,60,11,241,144,1617
Luguentz Dort,704,70,178,24,84,31,40,18,41,23,27,3,18,85,195
Damyean Dotson,836,120,290,59,163,22,33,10,81,57,23,4,21,44,321
Sekou Doumbouya,754,92,236,28,98,31,46,20,98,19,20,8,35,80,243
PJ Dozier,268,40,106,7,32,8,13,6,26,33,8,5,14,36,95
Goran Dragić,1583,301,684,121,323,183,236,26,147,283,35,10,138,114,906
Andre Drummond,1879,418,784,5,35,169,294,250,614,152,109,93,203,201,1010
Jared Dudley,314,20,51,16,35,2,2,5,39,19,12,3,6,36,58
Kris Dunn,1269,152,342,29,112,40,54,23,163,173,101,17,68,158,373
Carsen Edwards,316,37,113,21,68,11,13,6,37,22,10,3,15,33,106
Henry Ellenson,15,1,7,0,4,0,0,2,4,1,0,0,0,1,2
Wayne Ellington,558,61,174,50,143,11,13,4,61,44,13,4,18,41,183
Joel Embiid,1394,356,741,57,168,330,406,133,417,146,40,61,143,156,1099
James Ennis,1100,133,306,49,147,67,83,63,144,57,31,20,48,115,382
Drew Eubanks,175,27,38,1,1,12,16,13,37,7,2,10,16,28,67
Jacob Evans,418,45,134,13,39,25,29,9,32,31,11,12,25,41,128
Dante Exum,485,56,119,15,43,32,43,12,55,40,13,8,31,38,159
Tacko Fall,24,9,12,0,0,1,3,0,11,0,0,2,3,5,19
Derrick Favors,1167,196,319,1,7,38,68,154,321,78,28,45,53,105,431
Cristiano Felício,386,34,54,0,2,18,23,55,47,16,10,2,18,34,86
Terrance Ferguson,1174,74,201,46,156,15,19,23,50,45,26,16,30,145,209
Bruno Fernando,713,103,199,5,37,29,51,67,131,49,18,17,42,107,240
Yogi Ferrell,491,68,171,19,70,32,37,6,42,62,15,4,25,32,187
Dorian Finney-Smith,1958,218,472,102,273,70,97,130,236,103,45,37,66,163,608
Bryn Forbes,1579,242,581,148,381,75,90,12,114,108,33,0,57,113,707
Evan Fournier,1977,420,890,168,414,169,206,17,143,200,71,15,122,151,1177
De'Aaron Fox,1489,351,735,48,161,222,316,33,153,313,66,24,148,135,972
Melvin Frazier,55,6,17,4,7,2,4,1,4,1,5,2,3,8,18
Michael Frazier,66,4,11,2,8,4,6,1,2,1,2,0,2,13,14
Tim Frazier,355,34,94,10,30,19,24,9,24,93,14,4,36,42,97
